Ref,Val,Package,PosX,PosY,Rot,Side
"D159","CUS05S30","CUS05S30H3F",555.950000,-172.650000,-90.000000,top
"IC1","SN74HCS16507DR","SOIC127P600X175-16N",347.000000,-265.000000,0.000000,top
"IC2","SN74HCS16507DR","SOIC127P600X175-16N",347.000000,-278.000000,0.000000,top
"J1","Conn_01x08_Pin","PinHeader_1x08_P1.00mm_Vertical_SMD_Pin1Left",376.150000,-365.750000,-90.000000,top
"Q1","BUK6D120","TRANS_BUK9D23-40EX",413.935000,-377.950000,180.000000,top
"Q2","BUK6D120","TRANS_BUK9D23-40EX",401.153800,-377.950000,180.000000,top
"Q3","BUK6D120","TRANS_BUK9D23-40EX",426.935000,-377.950000,180.000000,top
"Q4","BUK6D120","TRANS_BUK9D23-40EX",439.935000,-377.950000,180.000000,top
"Q5","BUK6D120","TRANS_BUK9D23-40EX",452.935000,-377.950000,180.000000,top
"Q6","BUK6D120","TRANS_BUK9D23-40EX",465.935000,-377.950000,180.000000,top
"Q7","BUK6D120","TRANS_BUK9D23-40EX",478.935000,-377.950000,180.000000,top
"Q8","BUK6D120","TRANS_BUK9D23-40EX",491.935000,-377.950000,180.000000,top
"Q9","BUK6D120","TRANS_BUK9D23-40EX",504.935000,-377.950000,180.000000,top
"Q10","BUK6D120","TRANS_BUK9D23-40EX",517.935000,-377.950000,180.000000,top
"Q11","BUK6D120","TRANS_BUK9D23-40EX",530.935000,-377.950000,180.000000,top
"Q12","BUK6D120","TRANS_BUK9D23-40EX",543.935000,-377.950000,180.000000,top
"Q13","BUK6D120","TRANS_BUK9D23-40EX",556.935000,-377.950000,180.000000,top
"Q17","BUK6D120-60PX","BUK6D12060PX",361.685000,-199.350000,0.000000,top
"Q18","BUK6D120-60PX","BUK6D12060PX",361.685000,-212.350000,0.000000,top
"Q19","BUK6D120-60PX","BUK6D12060PX",361.685000,-225.350000,0.000000,top
"Q20","BUK6D120-60PX","BUK6D12060PX",361.685000,-238.350000,0.000000,top
"Q21","BUK6D120-60PX","BUK6D12060PX",361.685000,-251.350000,0.000000,top
"Q22","BUK6D120-60PX","BUK6D12060PX",361.685000,-264.350000,0.000000,top
"Q23","BUK6D120-60PX","BUK6D12060PX",361.685000,-277.350000,0.000000,top
"Q24","BUK6D120-60PX","BUK6D12060PX",361.685000,-290.350000,0.000000,top
"Q25","BUK6D120-60PX","BUK6D12060PX",361.685000,-303.350000,0.000000,top
"Q26","BUK6D120-60PX","BUK6D12060PX",361.685000,-316.350000,0.000000,top
"Q27","BUK6D120-60PX","BUK6D12060PX",361.685000,-329.350000,0.000000,top
"Q28","BUK6D120-60PX","BUK6D12060PX",361.685000,-342.350000,0.000000,top
"Q29","BUK6D120-60PX","BUK6D12060PX",361.685000,-355.350000,0.000000,top
"R1","1k","R_1206_3216Metric",409.150000,-379.850000,180.000000,top
"R2","120k","R_1206_3216Metric",409.050000,-376.000000,180.000000,top
"R3","1k","R_1206_3216Metric",396.368800,-379.850000,180.000000,top
"R4","120k","R_1206_3216Metric",396.268800,-376.000000,180.000000,top
"R5","1k","R_1206_3216Metric",422.150000,-379.850000,180.000000,top
"R6","120k","R_1206_3216Metric",422.050000,-376.000000,180.000000,top
"R7","1k","R_1206_3216Metric",435.150000,-379.850000,180.000000,top
"R8","120k","R_1206_3216Metric",435.050000,-376.000000,180.000000,top
"R9","1k","R_1206_3216Metric",448.150000,-379.850000,180.000000,top
"R10","120k","R_1206_3216Metric",448.050000,-376.000000,180.000000,top
"R11","1k","R_1206_3216Metric",461.150000,-379.850000,180.000000,top
"R12","120k","R_1206_3216Metric",461.050000,-376.000000,180.000000,top
"R13","1k","R_1206_3216Metric",474.150000,-379.850000,180.000000,top
"R14","120k","R_1206_3216Metric",474.050000,-376.000000,180.000000,top
"R15","1k","R_1206_3216Metric",487.150000,-379.850000,180.000000,top
"R16","120k","R_1206_3216Metric",487.050000,-376.000000,180.000000,top
"R17","1k","R_1206_3216Metric",500.150000,-379.850000,180.000000,top
"R18","120k","R_1206_3216Metric",500.050000,-376.000000,180.000000,top
"R19","1k","R_1206_3216Metric",513.150000,-379.850000,180.000000,top
"R20","120k","R_1206_3216Metric",513.050000,-376.000000,180.000000,top
"R21","1k","R_1206_3216Metric",526.150000,-379.850000,180.000000,top
"R22","120k","R_1206_3216Metric",526.050000,-376.000000,180.000000,top
"R23","1k","R_1206_3216Metric",539.150000,-379.850000,180.000000,top
"R24","120k","R_1206_3216Metric",539.050000,-376.000000,180.000000,top
"R25","1k","R_1206_3216Metric",552.150000,-379.850000,180.000000,top
"R26","120k","R_1206_3216Metric",552.050000,-376.000000,180.000000,top
"R33","10k","R_0603_1608Metric",358.528600,-393.787600,-90.000000,top
"R34","1k","R_1206_3216Metric",338.306500,-393.406400,-90.000000,top
"R35","10k","R_0603_1608Metric",338.306500,-387.831400,-90.000000,top
"R36","1k","R_1206_3216Metric",379.503600,-385.762600,-90.000000,top
"R37","33","R_0603_1608Metric",364.603600,-381.537600,180.000000,top
"R38","33","R_0603_1608Metric",364.603600,-380.037600,180.000000,top
"R39","5k1","R_0603_1608Metric",354.150100,-382.175100,0.000000,top
"R40","5k1","R_0603_1608Metric",354.150100,-376.412600,0.000000,top
"R41","1k","R_1206_3216Metric",357.168500,-200.248600,180.000000,top
"R42","120k","R_1206_3216Metric",357.168500,-197.948600,0.000000,top
"R43","1k","R_1206_3216Metric",357.168500,-213.248600,180.000000,top
"R44","120k","R_1206_3216Metric",357.168500,-210.948600,0.000000,top
"R45","1k","R_1206_3216Metric",357.168500,-226.248600,180.000000,top
"R46","120k","R_1206_3216Metric",357.168500,-223.948600,0.000000,top
"R47","1k","R_1206_3216Metric",357.168500,-239.248600,180.000000,top
"R48","120k","R_1206_3216Metric",357.168500,-236.948600,0.000000,top
"R49","1k","R_1206_3216Metric",357.168500,-252.248600,180.000000,top
"R50","120k","R_1206_3216Metric",357.168500,-249.948600,0.000000,top
"R51","1k","R_1206_3216Metric",357.168500,-265.248600,180.000000,top
"R52","120k","R_1206_3216Metric",357.168500,-262.948600,0.000000,top
"R53","1k","R_1206_3216Metric",357.168500,-278.248600,180.000000,top
"R54","120k","R_1206_3216Metric",357.168500,-275.948600,0.000000,top
"R55","1k","R_1206_3216Metric",357.168500,-291.248600,180.000000,top
"R56","120k","R_1206_3216Metric",357.168500,-288.948600,0.000000,top
"R57","1k","R_1206_3216Metric",357.168500,-304.248600,180.000000,top
"R58","120k","R_1206_3216Metric",357.168500,-301.948600,0.000000,top
"R59","1k","R_1206_3216Metric",357.168500,-317.248600,180.000000,top
"R60","120k","R_1206_3216Metric",357.168500,-314.948600,0.000000,top
"R61","1k","R_1206_3216Metric",357.168500,-330.248600,180.000000,top
"R62","120k","R_1206_3216Metric",357.168500,-327.948600,0.000000,top
"R63","1k","R_1206_3216Metric",357.168500,-343.248600,180.000000,top
"R64","120k","R_1206_3216Metric",357.168500,-340.948600,0.000000,top
"R65","1k","R_1206_3216Metric",357.168500,-356.248600,180.000000,top
"R66","120k","R_1206_3216Metric",357.168500,-353.948600,0.000000,top
"SW1","SW_MEC_5E","TS-1187A-B-A-B",344.200000,-393.420000,180.000000,top
"SW2","SW_MEC_5E","TS-1187A-B-A-B",344.200000,-387.800000,180.000000,top
"U1","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",362.328600,-387.312600,180.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",373.950100,-381.975100,90.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",363.200100,-371.550100,0.000000,top
"USB1","~","USBC_16P",329.000000,-379.000000,-90.000000,top
"Y1","12Mhz","crystal",383.153600,-384.762600,90.000000,top
